player_id,horizon_xpts,mean_reliability,gws,web_name,team_id,team_short
71,4.542746398520842,0.4866303162656268,4,Kluivert,3,BOU
205,4.512600374188643,0.49397149483951114,4,Kamada,7,CRY
398,4.45148677426756,0.4831288132421465,4,Gordon,15,NEW
223,4.40945659923433,0.8895157244117529,4,Garner,8,EVE
757,4.3991566161654605,0.5354736544391573,4,Kayode,4,BRE
159,4.332125260832717,0.47871662031854,4,Chalobah,6,CHE
607,4.221280418541182,0.28872493744698063,4,O’Reilly,13,MCI
259,4.2156829121244215,0.2974548069695204,4,Wilson,9,FUL
764,4.071586520841242,1.0,4,Palmer,10,IPS
255,4.034179035298534,0.5281036662676597,4,Robinson,9,FUL
765,3.999470103144721,0.2591589617593817,4,N.Gonzalez,13,MCI
766,3.968048836940019,0.6473343227129972,4,Dorgu,14,MUN
499,3.9489835606290735,0.631996339926763,4,P.M.Sarr,18,TOT
461,3.92431154567393,0.8963026156402424,4,Harwood-Bellis,17,SOU
340,3.8852231919186453,0.3304786851919,4,Akanji,13,MCI
462,3.796432428698454,0.7663197811593891,4,Kamaldeen,17,SOU
382,3.7901749045127104,0.36635121939216175,4,Mount,14,MUN
543,3.6476750861554295,0.45463528551527893,4,Doherty,20,WOL
111,3.632131433606455,0.7078974434604289,4,Yarmoliuk,4,BRE
591,3.590849569792514,0.761280300446593,4,Todibo,19,WHU
53,3.4898702067752083,0.3614109346906815,4,Ramsey,2,AVL
472,3.432921878836549,0.5982936861196642,4,Stephens,17,SOU
17,3.4062092949011338,0.500522042861567,4,Saka,1,ARS
376,3.379002743962186,0.463872858674012,4,Lindelof,14,MUN
216,3.33991757816398,0.24919313052944922,4,Wharton,7,CRY
36,3.3329549243510677,0.2617659366432286,4,Digne,2,AVL
224,3.3313678759042094,0.585066381491352,4,Harrison,8,EVE
565,3.2537821007250884,0.37635577951083915,4,Sarabia,20,WOL
489,3.243460001752973,0.6214171706173565,4,Gray,18,TOT
630,3.1992659962075196,0.9988899012265295,4,O'Shea,10,IPS
257,3.14177141855801,0.46753267389467795,4,Tete,9,FUL
268,3.049993309937285,0.5748862555312384,4,Delap,10,IPS
311,2.9912676962671543,0.2332486899754218,4,Alexander-Arnold,12,LIV
24,2.9730006079448046,0.38402900379174765,4,White,1,ARS
278,2.9437729770211916,0.787272611598823,4,Morsy,10,IPS
767,2.9261911206793405,0.6094615095899886,4,Danso,18,TOT
531,2.8792010740697385,0.6622589400729559,4,Ward-Prowse,19,WHU
377,2.8763440292592097,0.4346637661741341,4,Maguire,14,MUN
306,2.8503548395460845,0.8845030552906323,4,Vardy,11,LEI
49,2.7682566898175742,0.20180292934154156,4,Mings,2,AVL
450,2.7601124873128207,0.5084220342588948,4,Alcaraz,8,EVE
633,2.6559055806783958,0.30223884472332435,4,Merino,1,ARS
240,2.653455551066594,0.3123247760021444,4,Andreas,9,FUL
422,2.6501325167192307,0.6052541569495233,4,Aina,16,NFO
351,2.6413256960758345,0.25001827646867936,4,Haaland,13,MCI
730,2.6113055500155333,0.13436314884172315,4,Esse,7,CRY
335,2.5971020958854503,0.27160055314517306,4,Robertson,12,LIV
230,2.5836197515406414,0.2796742073979184,4,McNeil,8,EVE
378,2.556079877392258,0.37212062033457033,4,Mainoo,14,MUN
288,2.544857378714161,0.8552663787006738,4,Coady,11,LEI
81,2.45488694225973,0.3440869722596652,4,Smith,3,BOU
337,2.450617957909487,0.29080746671021823,4,Tsimikas,12,LIV
455,2.443973932623996,0.5210391889965609,4,Bednarek,17,SOU
147,2.416213739542261,0.23549634648548862,4,Webster,5,BHA
608,2.3786084647640595,0.5210751931526234,4,Dibling,17,SOU
74,2.3491442399815066,0.3337546247612763,4,O.Dango,3,BOU
635,2.328995080383937,0.938774457480679,4,El Khannouss,11,LEI
484,2.2714047500685854,0.7168755776176068,4,Davies,18,TOT
364,2.2392310057399625,0.2506925717432247,4,Amad,14,MUN
160,2.1958048101825827,0.16476588378837675,4,Chilwell,7,CRY
187,2.1595128360101725,0.22132855599467696,4,Tosin,6,CHE
188,2.1371106080450395,0.4887570673544743,4,Ugochukwu,17,SOU
619,2.1082676090329597,0.5163300623888423,4,Cajuste,10,IPS
491,2.0870960853388465,0.2385756534756271,4,Johnson,18,TOT
645,2.0726789238056327,0.18601891960283357,4,Devenny,7,CRY
518,2.040545876341146,0.5973245596402609,4,Downes,17,SOU
295,2.0179920180503528,0.7550982498723565,4,Justin,11,LEI
317,1.9951450838991467,0.24300502147381833,4,Diogo J.,12,LIV
238,1.8907067648654468,0.3347542151138698,4,Young,8,EVE
563,1.8317708430313149,0.28824492868890744,4,R.Gomes,20,WOL
291,1.8056881264138276,0.8518243932108607,4,Faes,11,LEI
274,1.776428764414606,0.404189671081486,4,Hutchinson,10,IPS
272,1.7661280620008108,0.40582726081434334,4,Hirst,10,IPS
572,1.7241316546227554,0.37226146839388635,4,Yoro,14,MUN
355,1.705987871383677,0.17673934415753156,4,Lewis,13,MCI
180,1.6547008611326532,0.3456072860520507,4,N.Jackson,6,CHE
300,1.640371779309544,0.8684662160516919,4,Ndidi,11,LEI
421,1.551116151249283,0.24003856817640484,4,Wilson,15,NEW
714,1.5364960158471066,0.22119900014522464,4,Gómez,5,BHA
442,1.4679964267951802,0.3259758265142754,4,Sangaré,16,NFO
